Hour,Gross Sales,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Month,date,Year
20,52.72,0,0,0,0,0,1,0,1,15,2019
21,76.09,0,0,0,0,0,1,0,1,15,2019
22,9.6,0,0,0,0,0,1,0,1,15,2019
12,43.49,0,0,0,0,0,0,1,1,16,2019
13,97.99,0,0,0,0,0,0,1,1,16,2019
14,83.66,0,0,0,0,0,0,1,1,16,2019
15,109.13,0,0,0,0,0,0,1,1,16,2019
16,22.18,0,0,0,0,0,0,1,1,16,2019
17,24.39,0,0,0,0,0,0,1,1,16,2019
18,45.87,0,0,0,0,0,0,1,1,16,2019
19,143.44,0,0,0,0,0,0,1,1,16,2019
20,28.9,0,0,0,0,0,0,1,1,16,2019
21,26.69,0,0,0,0,0,0,1,1,16,2019
22,73.51,0,0,0,0,0,0,1,1,16,2019
23,7.7,0,0,0,0,0,0,1,1,16,2019
12,67.31,0,0,0,0,1,0,0,1,17,2019
13,51.9,0,0,0,0,1,0,0,1,17,2019
14,21.65,0,0,0,0,1,0,0,1,17,2019
15,53.36,0,0,0,0,1,0,0,1,17,2019
16,47.59,0,0,0,0,1,0,0,1,17,2019
17,77.2,0,0,0,0,1,0,0,1,17,2019
18,33.99,0,0,0,0,1,0,0,1,17,2019
19,73.86,0,0,0,0,1,0,0,1,17,2019
20,68.7,0,0,0,0,1,0,0,1,17,2019
21,66.35,0,0,0,0,1,0,0,1,17,2019
22,47.04,0,0,0,0,1,0,0,1,17,2019
23,89.9,0,0,0,0,1,0,0,1,17,2019
10,0,1,0,0,0,0,0,0,1,18,2019
12,39.07,1,0,0,0,0,0,0,1,18,2019
13,49.43,1,0,0,0,0,0,0,1,18,2019
14,72.68,1,0,0,0,0,0,0,1,18,2019
15,72.03,1,0,0,0,0,0,0,1,18,2019
16,95.65,1,0,0,0,0,0,0,1,18,2019
17,152.61,1,0,0,0,0,0,0,1,18,2019
18,46.59,1,0,0,0,0,0,0,1,18,2019
19,191.11,1,0,0,0,0,0,0,1,18,2019
20,83.21,1,0,0,0,0,0,0,1,18,2019
21,102.74,1,0,0,0,0,0,0,1,18,2019
22,75.96,1,0,0,0,0,0,0,1,18,2019
23,99.31,1,0,0,0,0,0,0,1,18,2019
0,44.76,0,0,1,0,0,0,0,1,19,2019
1,7.24,0,0,1,0,0,0,0,1,19,2019
12,74.65,0,0,1,0,0,0,0,1,19,2019
13,99.02,0,0,1,0,0,0,0,1,19,2019
14,103.2,0,0,1,0,0,0,0,1,19,2019
15,118.72,0,0,1,0,0,0,0,1,19,2019
16,69.3,0,0,1,0,0,0,0,1,19,2019
17,59.34,0,0,1,0,0,0,0,1,19,2019
18,37.81,0,0,1,0,0,0,0,1,19,2019
19,33.7,0,0,1,0,0,0,0,1,19,2019
20,60.49,0,0,1,0,0,0,0,1,19,2019
21,106.03,0,0,1,0,0,0,0,1,19,2019
22,6.98,0,0,1,0,0,0,0,1,19,2019
23,48.28,0,0,1,0,0,0,0,1,19,2019
0,20.63,0,0,0,1,0,0,0,1,20,2019
1,7.44,0,0,0,1,0,0,0,1,20,2019
12,139.34,0,0,0,1,0,0,0,1,20,2019
13,123.62,0,0,0,1,0,0,0,1,20,2019
14,129.09,0,0,0,1,0,0,0,1,20,2019
15,121.34,0,0,0,1,0,0,0,1,20,2019
16,221.44,0,0,0,1,0,0,0,1,20,2019
17,185.08,0,0,0,1,0,0,0,1,20,2019
18,63.72,0,0,0,1,0,0,0,1,20,2019
19,16.94,0,0,0,1,0,0,0,1,20,2019
20,67.81,0,0,0,1,0,0,0,1,20,2019
21,138.77,0,0,0,1,0,0,0,1,20,2019
